#,Gene,Inheritance,Page URL,Has Page,Notes,Suhana's Notes,Source / Reference,Status
1,ABCA4,autosomal dominant,https://www.rphope.org/genetic-insights-abca4,Yes,Listed AD; ABCA4 is classically autosomal recessive — verify,GeneReviews lists ABCA4-RP as recessive only; verify inheritance (sheet says dominant).,GeneReviews NBK1417 Table 3 (rev. Apr 2023),Confirmed current
2,ABGL5,autosomal recessive,https://www.rphope.org/agbl5,Yes,Likely typo for AGBL5,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12185745/,Confirmed current
3,ADGRA3,autosomal recessive,https://www.rphope.org/genetic-insights-adgra3,Yes,,,https://europepmc.org/article/MED/23105016,Needs follow-up
4,ADIPOR1,autosomal dominant,https://www.rphope.org/genetic-insights-adipori,Yes,Inheritance reported as recessive in some literature — verify,,https://www.ncbi.nlm.nih.gov/gene/51094,Confirmed current
5,AhR,autosomal recessive,https://www.rphope.org/genetic-insights-ahr,Yes,Usually written AHR,,https://pubmed.ncbi.nlm.nih.gov/29726989/,Confirmed current
6,ARHGEF18,autosomal recessive,https://www.rphope.org/genetic-insights-arhgef18,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5294887/,Confirmed current
7,ARL2BP,autosomal recessive,https://www.rphope.org/genetic-insights-arl2bp,Yes,,,https://www.ncbi.nlm.nih.gov/gene/23568,Confirmed current
8,ARL3,autosomal dominant,https://www.rphope.org/genetic-insights-arl3,Yes,,,https://www.ncbi.nlm.nih.gov/gene/403,Confirmed current
9,ARL6,autosomal dominant,https://www.rphope.org/copy-of-arl4,Yes,Link slug 'copy-of-arl4' looks unfinished; ARL6 often recessive (BBS3) — verify,"ARL6 = BBS3 locus, recessive; verify inheritance (sheet says dominant).",GeneReviews NBK1417 Table 3 (rev. Apr 2023),Confirmed current
10,BBS1,autosomal recessive,https://www.rphope.org/genetic-insights-bbs1,Yes,,,https://www.ncbi.nlm.nih.gov/gene/582,Confirmed current
11,BBS2,autosomal recessive,https://www.rphope.org/genetic-insights-bbs2,Yes,,,https://www.ncbi.nlm.nih.gov/gene/583,Confirmed current
12,BBS3,autosomal recessive,https://www.rphope.org/genetic-insights-bbs3,Yes,Source had typo 'rescessive'; BBS3 = ARL6 locus,"BBS3 = ARL6, already listed separately; merge/cross-ref.",RetNet / OMIM,Merge duplicate
13,BEST1,autosomal dominant,https://www.rphope.org/genetic-insights-best1,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5600499/,Confirmed current
14,BEST2,inconclusive,https://www.rphope.org/genetic-insights-best2,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5600499/,Confirmed current
15,CA4,autosomal dominant,https://www.rphope.org/genetic-insights-clcc1,Yes,Link points to CLCC1 page — likely wrong link,trying to find another recent source,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Needs follow-up
16,CERKL,autosomal recessive,https://www.rphope.org/genetic-insights-cerkl,Yes,,,https://www.ncbi.nlm.nih.gov/gene/375298,Confirmed current
17,CLCC1,autosomal recessive,https://www.rphope.org/genetic-insights-clcc1,Yes,,,https://www.ncbi.nlm.nih.gov/gene/23155,Confirmed current
18,CLRN1,autosomal recessive,https://www.rphope.org/genetic-insights-clrn1,Yes,,,https://pubmed.ncbi.nlm.nih.gov/21310491/,Confirmed current
19,CNGA1,autosomal recessive,https://www.rphope.org/genetic-insights-cnga1,Yes,,,https://www.ncbi.nlm.nih.gov/gene/1259,Confirmed current
20,CNGB1,autosomal recessive,https://www.rphope.org/genetic-insights-cngb1,Yes,,,https://ncbi.nlm.nih.gov/gene/1258,Confirmed current
21,CRB1,autosomal recessive,https://www.rphope.org/genetic-insights-crb1,Yes,,,https://www.ncbi.nlm.nih.gov/gene/23418,Confirmed current
22,CRX,autosomal dominant,https://www.rphope.org/genetic-insights-crx,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
23,CWC27,autosomal recessive,https://www.rphope.org/genetic-insights-cwc27,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
24,CYP4V2,autosomal recessive,https://www.rphope.org/genetic-insights-cyp4pv,Yes,URL slug 'cyp4pv' looks like a typo,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
25,C8ORF37,autosomal recessive,https://www.rphope.org/genetic-insights-c8orf37,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
26,DHDDS,autosomal recessive,https://www.rphope.org/genetic-insights-dhdds,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
27,DHX38,autosomal recessive,,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
28,EMC1,autosomal recessive,,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
29,ENSA,autosomal recessive,,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
30,EYS,autosomal recessive,https://www.rphope.org/genetic-insights-eys,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
31,FAM161A,autosomal recessive,https://www.rphope.org/genetic-insights-fam161a,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
32,FSCN2,autosomal dominant,,No,,GeneReviews flags FSCN2 as an unlikely/disputed RP cause; add caveat.,GeneReviews NBK1417 Table 2 (rev. Apr 2023),Needs follow-up
33,GUCA1B,autosomal dominant,,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
34,HGSNAT,autosomal recessive,,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
35,HK1,autosomal dominant,https://www.rphope.org/genetic-insights-hk1,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
36,IDH3B,autosomal recessive,,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
37,IFT140,autosomal recessive,https://www.rphope.org/genetic-insights-ift140,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11123195/,Confirmed current
38,IFT172,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
39,IMPDH1,autosomal dominant,,No,,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
40,IMPG1,autosomal dominant,,No,,,https://retnet.org/disease,Confirmed current
41,IMPG2,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
42,INPP5E,autosomal recessive,https://www.rphope.org/genetic-insights-inpp5e,Yes,,,https://retnet.org/disease,Confirmed current
43,KIAA1549,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
44,KIF3B,autosomal dominant,,No,,,https://retnet.org/disease,Confirmed current
45,KIZ,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
46,KLHL7,autosomal dominant,,No,,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
47,LCA,autosomal recessive,https://www.rphope.org/lca,Yes,"LCA is a disease/phenotype, not a single gene — review ",,https://retnet.org/disease,Needs follow-up
48,LRAT,autosomal recessive,https://www.rphope.org/genetic-insights-lrat,Yes,,,https://retnet.org/disease,Confirmed current
49,MAK,autosomal recessive,https://www.rphope.org/genetic-insights-mak,Yes,,,https://retnet.org/disease,Confirmed current
50,MERTK,autosomal recessive,https://www.rphope.org/copy-of-mak,Yes,Link 'copy-of-mak' looks unfinished — verify page,,https://retnet.org/disease,Needs follow-up
51,MVK,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
52,NEK,autosomal recessive,,No,'NEK' alone is not a standard gene symbol — possibly meant NEK2?,,https://retnet.org/disease,Needs follow-up
53,NEK2,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
54,NEUROD1,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
